Test Id,Test scenario,Test case,Priority,Test Data,Methods / Request Type,Test Steps,Expected status code,Error,Expected result,Actual result,Status,Comments
po_01,Creating Tactics - step 1,create a campaign level task using tactic creation api,P0,"{
  ""status"": ""draft"",
  ""date_schedule"": ""continuously"",
  ""level"": ""campaign"",
  ""client_name"": ""demo client"",
  ""type"": ""performance"",
  ""tasks"": [{
  ""task"": ""pause_campaign"",
  ""meta_data"": {},
  ""conditions"": {
  ""child_conditions"": [{
  ""name"": ""fb_primary_actions_post_engagement"",
  ""time"": ""today"",
  ""condition"": "">="",
  ""value"": 0,
  ""rel_child"": ""AND"",
  ""aggregate"": """",
  ""child_conditions"": [],
  ""child_groups"": []
  }],
  ""child_groups"": []
  }
  }],
  ""setup_type"": ""exp"",
  ""task_sequence"": null,
  ""objective"": """"
 }",POST,"1. Use the api as given in test data with the json.
 2. Do a post request on API. 
 3. And validate the result as per expected",200,FALSE,"1. Status should be 200 OK.
 2. Response time should be less than 500ms.
 3. Response:{
  ""error"": false,
  ""data"": {
  ""id"": 5231,
  ""name"": null,
  ""start_date"": null,
  ""end_date"": null,
  ""status"": ""draft"",
  ""ad_account_id"": 99,
  ""auth_user"": 11,
  ""tasks"": [
  {
  ""id"": 6152,
  ""dsl"": ""when fb_primary_actions_post_engagement for today >= 0 perform the following actions \n \tPAUSE_CAMPAIGN\nend"",
  ""logic"": ""T1"",
  ""type"": """",
  ""value"": """",
  ""tactic"": 5231,
  ""triggers"": [
  {
  ""name"": ""fb_primary_actions_post_engagement"",
  ""condition"": "">="",
  ""value"": ""0"",
  ""time"": ""today"",
  ""aggregate"": """",
  ""task"": 6152
  }
  ],
  ""meta_data"": {},
  ""name"": ""PAUSE_CAMPAIGN""
  }
  ],
  ""filtered_ids"": null,
  ""recalculate_filters"": null,
  ""level"": ""campaign"",
  ""tactic_json"": {
  ""status"": ""draft"",
  ""date_schedule"": ""continuously"",
  ""level"": ""campaign"",
  ""client_name"": ""demo client"",
  ""type"": ""performance"",
  ""tasks"": [
  {
  ""task"": ""pause_campaign"",
  ""meta_data"": {},
  ""conditions"": {
  ""child_conditions"": [
  {
  ""name"": ""fb_primary_actions_post_engagement"",
  ""time"": ""today"",
  ""condition"": "">="",
  ""value"": 0,
  ""rel_child"": ""AND"",
  ""aggregate"": """",
  ""child_conditions"": [],
  ""child_groups"": []
  }
  ],
  ""child_groups"": []
  }
  }
  ],
  ""setup_type"": ""exp"",
  ""task_sequence"": null,
  ""objective"": """",
  ""ad_account_id"": 99
  },
  ""setup_type"": ""exp"",
  ""frequency_limit"": null,
  ""type"": ""performance""
  }
 }",,,done
po_02,Creating Tactics - step 1,"Validate if ""status"" accepts ""draft""",P0,"{
  ""status"": ""draft"",
  ""date_schedule"": ""continuously"",
  ""level"": ""campaign"",
  ""client_name"": ""demo client"",
  ""type"": ""performance"",
  ""tasks"": [{
  ""task"": ""pause_campaign"",
  ""meta_data"": {},
  ""conditions"": {
  ""child_conditions"": [{
  ""name"": ""fb_primary_actions_post_engagement"",
  ""time"": ""today"",
  ""condition"": "">="",
  ""value"": 0,
  ""rel_child"": ""AND"",
  ""aggregate"": """",
  ""child_conditions"": [],
  ""child_groups"": []
  }],
  ""child_groups"": []
  }
  }],
  ""setup_type"": ""exp"",
  ""task_sequence"": null,
  ""objective"": """"
 }",POST,"1. Use the api as given in test data with the json.
 2. Check if the value of parameter ""status"" is ""draft""
 3. Do a post request on API. 
 4. And validate the result as per expected",200,FALSE,"1. Status should be 200 OK.
 2. Response time should be less than 500ms.
 3. Response:
 {
  ""error"": false,
  ""data"": {
  ""id"": 5231,
  ""name"": null,
  ""start_date"": null,
  ""end_date"": null,
  ""status"": ""draft"",
  ""ad_account_id"": 99,
  ""auth_user"": 11,
  ""tasks"": [
  {
  ""id"": 6152,
  ""dsl"": ""when fb_primary_actions_post_engagement for today >= 0 perform the following actions \n \tPAUSE_CAMPAIGN\nend"",
  ""logic"": ""T1"",
  ""type"": """",
  ""value"": """",
  ""tactic"": 5231,
  ""triggers"": [
  {
  ""name"": ""fb_primary_actions_post_engagement"",
  ""condition"": "">="",
  ""value"": ""0"",
  ""time"": ""today"",
  ""aggregate"": """",
  ""task"": 6152
  }
  ],
  ""meta_data"": {},
  ""name"": ""PAUSE_CAMPAIGN""
  }
  ],
  ""filtered_ids"": null,
  ""recalculate_filters"": null,
  ""level"": ""campaign"",
  ""tactic_json"": {
  ""status"": ""draft"",
  ""date_schedule"": ""continuously"",
  ""level"": ""campaign"",
  ""client_name"": ""demo client"",
  ""type"": ""performance"",
  ""tasks"": [
  {
  ""task"": ""pause_campaign"",
  ""meta_data"": {},
  ""conditions"": {
  ""child_conditions"": [
  {
  ""name"": ""fb_primary_actions_post_engagement"",
  ""time"": ""today"",
  ""condition"": "">="",
  ""value"": 0,
  ""rel_child"": ""AND"",
  ""aggregate"": """",
  ""child_conditions"": [],
  ""child_groups"": []
  }
  ],
  ""child_groups"": []
  }
  }
  ],
  ""setup_type"": ""exp"",
  ""task_sequence"": null,
  ""objective"": """",
  ""ad_account_id"": 99
  },
  ""setup_type"": ""exp"",
  ""frequency_limit"": null,
  ""type"": ""performance""
  }
 }",,,
po_03,Creating Tactics - step 1,"Validate if ""status"" accepts ""on""",P0,"{
  ""status"": ""on"",
  ""date_schedule"": ""continuously"",
  ""level"": ""campaign"",
  ""client_name"": ""demo client"",
  ""type"": ""performance"",
  ""tasks"": [{
  ""task"": ""pause_campaign"",
  ""meta_data"": {},
  ""conditions"": {
  ""child_conditions"": [{
  ""name"": ""fb_primary_actions_post_engagement"",
  ""time"": ""today"",
  ""condition"": "">="",
  ""value"": 0,
  ""rel_child"": ""AND"",
  ""aggregate"": """",
  ""child_conditions"": [],
  ""child_groups"": []
  }],
  ""child_groups"": []
  }
  }],
  ""setup_type"": ""exp"",
  ""task_sequence"": null,
  ""objective"": """"
 }",POST,"1. Use the api as given in test data with the json.
 2. Check if the value of parameter ""status"" is ""on""
 3. Do a post request on API. 
 4. And validate the result as per expected",200,FALSE,"1. Status should be 200 OK.
 2. Response time should be less than 500ms.
 3. Response:{
  ""error"": false,
  ""data"": {
  ""id"": 5231,
  ""name"": null,
  ""start_date"": null,
  ""end_date"": null,
  ""status"": ""on"",
  ""ad_account_id"": 99,
  ""auth_user"": 11,
  ""tasks"": [
  {
  ""id"": 6152,
  ""dsl"": ""when fb_primary_actions_post_engagement for today >= 0 perform the following actions \n \tPAUSE_CAMPAIGN\nend"",
  ""logic"": ""T1"",
  ""type"": """",
  ""value"": """",
  ""tactic"": 5231,
  ""triggers"": [
  {
  ""name"": ""fb_primary_actions_post_engagement"",
  ""condition"": "">="",
  ""value"": ""0"",
  ""time"": ""today"",
  ""aggregate"": """",
  ""task"": 6152
  }
  ],
  ""meta_data"": {},
  ""name"": ""PAUSE_CAMPAIGN""
  }
  ],
  ""filtered_ids"": null,
  ""recalculate_filters"": null,
  ""level"": ""campaign"",
  ""tactic_json"": {
  ""status"": ""on"",
  ""date_schedule"": ""continuously"",
  ""level"": ""campaign"",
  ""client_name"": ""demo client"",
  ""type"": ""performance"",
  ""tasks"": [
  {
  ""task"": ""pause_campaign"",
  ""meta_data"": {},
  ""conditions"": {
  ""child_conditions"": [
  {
  ""name"": ""fb_primary_actions_post_engagement"",
  ""time"": ""today"",
  ""condition"": "">="",
  ""value"": 0,
  ""rel_child"": ""AND"",
  ""aggregate"": """",
  ""child_conditions"": [],
  ""child_groups"": []
  }
  ],
  ""child_groups"": []
  }
  }
  ],
  ""setup_type"": ""exp"",
  ""task_sequence"": null,
  ""objective"": """",
  ""ad_account_id"": 99
  },
  ""setup_type"": ""exp"",
  ""frequency_limit"": null,
  ""type"": ""performance""
  }
 }",,,
po_04,Creating Tactics - step 1,"Validate if ""status"" accepts ""off""",P0,"{
  ""status"": ""off"",
  ""date_schedule"": ""continuously"",
  ""level"": ""campaign"",
  ""client_name"": ""demo client"",
  ""type"": ""performance"",
  ""tasks"": [{
  ""task"": ""pause_campaign"",
  ""meta_data"": {},
  ""conditions"": {
  ""child_conditions"": [{
  ""name"": ""fb_primary_actions_post_engagement"",
  ""time"": ""today"",
  ""condition"": "">="",
  ""value"": 0,
  ""rel_child"": ""AND"",
  ""aggregate"": """",
  ""child_conditions"": [],
  ""child_groups"": []
  }],
  ""child_groups"": []
  }
  }],
  ""setup_type"": ""exp"",
  ""task_sequence"": null,
  ""objective"": """"
 }",POST,"1. Use the api as given in test data with the json.
 2. Check if the value of parameter ""status"" is ""off""
 3. Do a post request on API. 
 4. And validate the result as per expected",200,FALSE,"1. Status should be 200 OK.
 2. Response time should be less than 500ms.
 3. Response:{
  ""error"": false,
  ""data"": {
  ""id"": 5231,
  ""name"": null,
  ""start_date"": null,
  ""end_date"": null,
  ""status"": ""off"",
  ""ad_account_id"": 99,
  ""auth_user"": 11,
  ""tasks"": [
  {
  ""id"": 6152,
  ""dsl"": ""when fb_primary_actions_post_engagement for today >= 0 perform the following actions \n \tPAUSE_CAMPAIGN\nend"",
  ""logic"": ""T1"",
  ""type"": """",
  ""value"": """",
  ""tactic"": 5231,
  ""triggers"": [
  {
  ""name"": ""fb_primary_actions_post_engagement"",
  ""condition"": "">="",
  ""value"": ""0"",
  ""time"": ""today"",
  ""aggregate"": """",
  ""task"": 6152
  }
  ],
  ""meta_data"": {},
  ""name"": ""PAUSE_CAMPAIGN""
  }
  ],
  ""filtered_ids"": null,
  ""recalculate_filters"": null,
  ""level"": ""campaign"",
  ""tactic_json"": {
  ""status"": ""off"",
  ""date_schedule"": ""continuously"",
  ""level"": ""campaign"",
  ""client_name"": ""demo client"",
  ""type"": ""performance"",
  ""tasks"": [
  {
  ""task"": ""pause_campaign"",
  ""meta_data"": {},
  ""conditions"": {
  ""child_conditions"": [
  {
  ""name"": ""fb_primary_actions_post_engagement"",
  ""time"": ""today"",
  ""condition"": "">="",
  ""value"": 0,
  ""rel_child"": ""AND"",
  ""aggregate"": """",
  ""child_conditions"": [],
  ""child_groups"": []
  }
  ],
  ""child_groups"": []
  }
  }
  ],
  ""setup_type"": ""exp"",
  ""task_sequence"": null,
  ""objective"": """",
  ""ad_account_id"": 99
  },
  ""setup_type"": ""exp"",
  ""frequency_limit"": null,
  ""type"": ""performance""
  }
 }",,,
po_05,Creating Tactics - step 1,"Validate if ""status"" accepts null",P0,"{
  ""status"": null,
  ""date_schedule"": ""continuously"",
  ""level"": ""campaign"",
  ""client_name"": ""demo client"",
  ""type"": ""performance"",
  ""tasks"": [{
  ""task"": ""pause_campaign"",
  ""meta_data"": {},
  ""conditions"": {
  ""child_conditions"": [{
  ""name"": ""fb_primary_actions_post_engagement"",
  ""time"": ""today"",
  ""condition"": "">="",
  ""value"": 0,
  ""rel_child"": ""AND"",
  ""aggregate"": """",
  ""child_conditions"": [],
  ""child_groups"": []
  }],
  ""child_groups"": []
  }
  }],
  ""setup_type"": ""exp"",
  ""task_sequence"": null,
  ""objective"": """"
 }",POST,"1. Use the api as given in test data with the json.
 2. Check if the value of parameter ""status"" is null
 3. Do a post request on API. 
 4. And validate the result as per expected",400,TRUE,"1. Status should be 400 .
 2. Response time should be less than 500ms.
 3. Response:
 status should not except null.",,,
po_06,Creating Tactics - step 1,"Validate if ""status"" accepts invalid value",P3,"{
  ""status"": ""xyz"",
  ""date_schedule"": ""continuously"",
  ""level"": ""campaign"",
  ""client_name"": ""demo client"",
  ""type"": ""performance"",
  ""tasks"": [{
  ""task"": ""pause_campaign"",
  ""meta_data"": {},
  ""conditions"": {
  ""child_conditions"": [{
  ""name"": ""fb_primary_actions_post_engagement"",
  ""time"": ""today"",
  ""condition"": "">="",
  ""value"": 0,
  ""rel_child"": ""AND"",
  ""aggregate"": """",
  ""child_conditions"": [],
  ""child_groups"": []
  }],
  ""child_groups"": []
  }
  }],
  ""setup_type"": ""exp"",
  ""task_sequence"": null,
  ""objective"": """"
 }",POST,"1. Use the api as given in test data with the json.
 2. Check if the value of parameter ""status"" is ""xyz""
 3. Do a post request on API. 
 4. And validate the result as per expected",400,TRUE,"1. Status should be 400 .
 2. Response time should be less than 500ms.
 3. Response:
 status should not except any value other than ""draft"", ""on"" or ""off"". error should for invalid choice.",,,
po_07,Creating Tactics - step 1,"Validate if ""status"" accepts integer value",P3,"{
        ""status"": 123,
        ""date_schedule"": ""continuously"",
        ""level"": ""campaign"",
        ""client_name"": ""demo client"",
        ""type"": ""performance"",
        ""tasks"": [{
                ""task"": ""pause_campaign"",
                ""meta_data"": {},
                ""conditions"": {
                        ""child_conditions"": [{
                                ""name"": ""fb_primary_actions_post_engagement"",
                                ""time"": ""today"",
                                ""condition"": "">="",
                                ""value"": 0,
                                ""rel_child"": ""AND"",
                                ""aggregate"": """",
                                ""child_conditions"": [],
                                ""child_groups"": []
                        }],
                        ""child_groups"": []
                }
        }],
        ""setup_type"": ""exp"",
        ""task_sequence"": null,
        ""objective"": """"
}",POST,"1. Use the api as given in test data with the json.
2. Check if the value of parameter ""status"" is 123
3. Do a post request on API. 
4. And validate the result as per expected",400,TRUE,"1. Status should be 400 .
2. Response time should be less than 500ms.
3. Response:
status should not except integer values.",,,
po_08,Creating Tactics - step 1,"Validate if  ""date_schedule"" parameter accepts ""continuously""",P0,"{
        ""status"": ""draft"",
        ""date_schedule"": ""continuously"",
        ""level"": ""campaign"",
        ""client_name"": ""demo client"",
        ""type"": ""performance"",
        ""tasks"": [{
                ""task"": ""pause_campaign"",
                ""meta_data"": {},
                ""conditions"": {
                        ""child_conditions"": [{
                                ""name"": ""fb_primary_actions_post_engagement"",
                                ""time"": ""today"",
                                ""condition"": "">="",
                                ""value"": 0,
                                ""rel_child"": ""AND"",
                                ""aggregate"": """",
                                ""child_conditions"": [],
                                ""child_groups"": []
                        }],
                        ""child_groups"": []
                }
        }],
        ""setup_type"": ""exp"",
        ""task_sequence"": null,
        ""objective"": """"
}",POST,"1. Use the api as given in test data with the json.
2. Check if the value of parameter  ""date_schedule"": ""continuously""
3. Do a post request on API. 
4. And validate the result as per expected",200,FALSE,"1. Status should be 200 OK.
2. Response time should be less than 500ms.
3. Response:
{
    ""error"": false,
    ""data"": {
        ""id"": 5234,
        ""name"": null,
        ""start_date"": null,
        ""end_date"": null,
        ""status"": ""draft"",
        ""ad_account_id"": 99,
        ""auth_user"": 11,
        ""tasks"": [
            {
                ""id"": 6155,
                ""dsl"": ""when fb_primary_actions_post_engagement  for today >= 0 perform the following actions \n \tPAUSE_CAMPAIGN\nend"",
                ""logic"": ""T1"",
                ""type"": """",
                ""value"": """",
                ""tactic"": 5234,
                ""triggers"": [
                    {
                        ""name"": ""fb_primary_actions_post_engagement"",
                        ""condition"": "">="",
                        ""value"": ""0"",
                        ""time"": ""today"",
                        ""aggregate"": """",
                        ""task"": 6155
                    }
                ],
                ""meta_data"": {},
                ""name"": ""PAUSE_CAMPAIGN""
            }
        ],
        ""filtered_ids"": null,
        ""recalculate_filters"": null,
        ""level"": ""campaign"",
        ""tactic_json"": {
            ""status"": ""draft"",
            ""date_schedule"": ""continuously"",
            ""level"": ""campaign"",
            ""client_name"": ""demo client"",
            ""type"": ""performance"",
            ""tasks"": [
                {
                    ""task"": ""pause_campaign"",
                    ""meta_data"": {},
                    ""conditions"": {
                        ""child_conditions"": [
                            {
                                ""name"": ""fb_primary_actions_post_engagement"",
                                ""time"": ""today"",
                                ""condition"": "">="",
                                ""value"": 0,
                                ""rel_child"": ""AND"",
                                ""aggregate"": """",
                                ""child_conditions"": [],
                                ""child_groups"": []
                            }
                        ],
                        ""child_groups"": []
                    }
                }
            ],
            ""setup_type"": ""exp"",
            ""task_sequence"": null,
            ""objective"": """",
            ""ad_account_id"": 99
        },
        ""setup_type"": ""exp"",
        ""frequency_limit"": null,
        ""type"": ""performance""
    }
}",,,
po_09,Creating Tactics - step 1,"Validate if  ""date_schedule"" parameter accepts ""between_dates""",P0,"{
        ""status"": ""draft"",
        ""date_schedule"": ""between_dates"",
        ""level"": ""campaign"",
        ""client_name"": ""demo client"",
        ""type"": ""performance"",
        ""tasks"": [{
                ""task"": ""pause_campaign"",
                ""meta_data"": {},
                ""conditions"": {
                        ""child_conditions"": [{
                                ""name"": ""fb_primary_actions_post_engagement"",
                                ""time"": ""today"",
                                ""condition"": "">="",
                                ""value"": 0,
                                ""rel_child"": ""AND"",
                                ""aggregate"": """",
                                ""child_conditions"": [],
                                ""child_groups"": []
                        }],
                        ""child_groups"": []
                }
        }],
        ""setup_type"": ""exp"",
        ""task_sequence"": null,
        ""objective"": """",
        ""start_date"":""2021-03-04"",
        ""end_date"":""2021-03-05""

}",POST,"1. Use the api as given in test data with the json.
2. Check if the value of parameter   ""date_schedule"": ""between_dates""
3. Do a post request on API. 
4. And validate the result as per expected",200,FALSE,"1. Status should be 200 OK.
2. Response time should be less than 500ms.
3. Response:
{
    ""error"": false,
    ""data"": {
        ""id"": 5235,
        ""name"": null,
        ""start_date"": ""2021-03-04"",
        ""end_date"": ""2021-03-05"",
        ""status"": ""draft"",
        ""ad_account_id"": 99,
        ""auth_user"": 11,
        ""tasks"": [
            {
                ""id"": 6156,
                ""dsl"": ""when fb_primary_actions_post_engagement  for today >= 0 perform the following actions \n \tPAUSE_CAMPAIGN\nend"",
                ""logic"": ""T1"",
                ""type"": """",
                ""value"": """",
                ""tactic"": 5235,
                ""triggers"": [
                    {
                        ""name"": ""fb_primary_actions_post_engagement"",
                        ""condition"": "">="",
                        ""value"": ""0"",
                        ""time"": ""today"",
                        ""aggregate"": """",
                        ""task"": 6156
                    }
                ],
                ""meta_data"": {},
                ""name"": ""PAUSE_CAMPAIGN""
            }
        ],
        ""filtered_ids"": null,
        ""recalculate_filters"": null,
        ""level"": ""campaign"",
        ""tactic_json"": {
            ""status"": ""draft"",
            ""date_schedule"": ""between_dates"",
            ""level"": ""campaign"",
            ""client_name"": ""demo client"",
            ""type"": ""performance"",
            ""tasks"": [
                {
                    ""task"": ""pause_campaign"",
                    ""meta_data"": {},
                    ""conditions"": {
                        ""child_conditions"": [
                            {
                                ""name"": ""fb_primary_actions_post_engagement"",
                                ""time"": ""today"",
                                ""condition"": "">="",
                                ""value"": 0,
                                ""rel_child"": ""AND"",
                                ""aggregate"": """",
                                ""child_conditions"": [],
                                ""child_groups"": []
                            }
                        ],
                        ""child_groups"": []
                    }
                }
            ],
            ""setup_type"": ""exp"",
            ""task_sequence"": null,
            ""objective"": """",
            ""start_date"": ""2021-03-04"",
            ""end_date"": ""2021-03-05"",
            ""ad_account_id"": 99
        },
        ""setup_type"": ""exp"",
        ""frequency_limit"": null,
        ""type"": ""performance""
    }
}",,,
